kota_administrasi,kecamatan,jumlah_rw,jumlah_rt,jumlah_kk,jumlah_jiwa,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi,jumlah_tempat_pengungsian,nilai_kerugian,ketinggian_air,tahun,bulan
Jakarta Barat,Cengkareng,55.0,161.0,16266.0,57640.0,0,0,0,0,12072,56.0,000000,150,2014,1
Jakarta Barat,Grogol Petamburan,32.0,78.0,0.0,0.0,0,0,0,0,3082,12.0,0000000,60,2014,1
Jakarta Barat,Kalideres,18.0,85.0,3679.0,10530.0,0,0,0,0,7968,16.0,00,80,2014,1
Jakarta Barat,Kebon Jeruk,23.0,57.0,5409.0,21759.0,0,0,0,0,7570,10.0,0000,150,2014,1
Jakarta Barat,Kembangan,13.0,4.0,246.0,786.0,0,0,0,0,516,2.0,00,150,2014,1
Jakarta Barat,Palmerah,1.0,1.0,23.0,150.0,0,0,0,0,150,1.0,0,21,2014,1
Jakarta Barat,Tamansari,3.0,3.0,0.0,0.0,0,0,0,0,0,0.0,0,100,2014,1
Jakarta Barat,Tambora,6.0,11.0,0.0,0.0,0,0,0,0,0,0.0,00,60,2014,1
Jakarta Pusat,Johar Baru,2.0,5.0,0.0,0.0,0,0,0,0,0,0.0,0,30,2014,1
Jakarta Pusat,Kemayoran,26.0,113.0,5474.0,0.0,0,0,0,0,0,3.0,0000000,100,2014,1
Jakarta Pusat,Tanah Abang,10.0,50.0,0.0,10932.0,0,0,0,0,4251,19.0,00,250,2014,1
Jakarta Selatan,Cilandak,2.0,2.0,0.0,0.0,0,0,0,0,0,0.0,00,120,2014,1
Jakarta Selatan,Jagakarsa,12.0,18.0,190.0,647.0,0,0,0,0,186,3.0,0000,100,2014,1
Jakarta Selatan,Kebayoran Baru,4.0,30.0,0.0,441.0,0,0,0,0,441,3.0,00,150,2014,1
Jakarta Selatan,Kebayoran Lama,4.0,11.0,273.0,1029.0,0,0,0,15,26,1.0,000,150,2014,1
Jakarta Selatan,Mampang Prapatan,7.0,9.0,575.0,2061.0,0,0,0,0,266,5.0,000,100,2014,1
Jakarta Selatan,Pancoran,13.0,33.0,1538.0,7052.0,0,0,0,0,7519,22.0,000000,300,2014,1
Jakarta Selatan,Pasar Minggu,16.0,54.0,2120.0,7044.0,0,0,0,0,4806,10.0,000,120,2014,1
Jakarta Selatan,Pesanggrahan,11.0,23.0,753.0,1372.0,0,0,0,0,360,4.0,000,120,2014,1
Jakarta Selatan,Setiabudi,1.0,1.0,0.0,0.0,0,0,0,0,0,0.0,0,100,2014,1
Jakarta Selatan,Tebet,13.0,93.0,4479.0,21248.0,0,0,0,0,21248,28.0,000,300,2014,1
Jakarta Timur,Cakung,31.0,79.0,4134.0,5099.0,0,0,0,0,4124,16.0,000000,100,2014,1
Jakarta Timur,Cipayung,15.0,20.0,146.0,801.0,0,0,0,0,801,6.0,00000,100,2014,1
Jakarta Timur,Ciracas,8.0,24.0,1071.0,4331.0,0,0,0,0,651,3.0, -    -   ,50,2014,1
Jakarta Timur,Duren Sawit,2.0,2.0,97.0,347.0,0,0,0,0,150,1.0,00,100,2014,1
Jakarta Timur,Jatinegara,32.0,203.0,10099.0,34748.0,0,0,0,0,13873,41.0,00 -   0,350,2014,1
Jakarta Timur,Kramat Jati,24.0,102.0,5940.0,18651.0,0,0,0,0,9021,41.0,00000,400,2014,1
Jakarta Timur,Makasar,26.0,126.0,4838.0,20938.0,0,0,0,0,2242,21.0,00000,215,2014,1
Jakarta Timur,Matraman,4.0,23.0,576.0,1608.0,0,0,0,0,1608,6.0,0,100,2014,1
Jakarta Timur,Pasar Rebo,16.0,28.0,817.0,2975.0,0,0,0,0,0,11.0,0000,200,2014,1
Jakarta Timur,Pulogadung,10.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,50,2014,1
Jakarta Utara,Cilincing,38.0,38.0,402.0,1460.0,0,0,0,0,1993,24.0,00000,100,2014,1
Jakarta Utara,Kelapa Gading,43.0,42.0,388.0,4897.0,0,0,0,0,6502,10.0,000,80,2014,1
Jakarta Utara,Koja,17.0,36.0,0.0,1460.0,0,0,0,0,1460,12.0,0000,90,2014,1
Jakarta Utara,Pademangan,12.0,11.0,7.0,20.0,0,0,0,0,334,4.0,00,60,2014,1
Jakarta Utara,Penjaringan,25.0,159.0,6.0,0.0,0,0,0,0,4369,465.0,00000,100,2014,1
Jakarta Utara,Tanjung Priok,59.0,2.0,553.0,5924.0,0,0,0,0,4364,26.0,000000,85,2014,1
Jakarta Barat,Cengkareng,17.0,101.0,9349.0,10562.0,0,0,0,0,4571,8.0,0,80,2014,2
Jakarta Barat,Grogol Petamburan,7.0,24.0,169.0,421.0,0,0,0,0,494,2.0,0,75,2014,2
Jakarta Barat,Kalideres,13.0,71.0,3435.0,11020.0,0,0,0,0,3625,11.0,0,100,2014,2
Jakarta Barat,Kebon Jeruk,11.0,112.0,19430.0,45790.0,0,0,0,0,1429,5.0,0,110,2014,2
Jakarta Barat,Kembangan,7.0,4.0,0.0,169.0,0,0,0,0,169,2.0,0,65,2014,2
Jakarta Pusat,Tanah Abang,5.0,23.0,1518.0,8461.0,0,0,0,0,464,7.0,0,60,2014,2
Jakarta Selatan,Cilandak,4.0,5.0,16.0,0.0,0,0,0,0,0,0.0,0,130,2014,2
Jakarta Selatan,Kebayoran Baru,3.0,30.0,0.0,0.0,0,0,0,0,25,2.0,0,100,2014,2
Jakarta Selatan,Kebayoran Lama,2.0,8.0,65.0,191.0,0,0,0,0,0,0.0,0,140,2014,2
Jakarta Selatan,Pancoran,5.0,17.0,291.0,2118.0,0,0,0,0,2882,5.0,0,120,2014,2
Jakarta Selatan,Pasar Minggu,7.0,21.0,367.0,1165.0,0,0,0,0,915,5.0,0,200,2014,2
Jakarta Selatan,Pesanggrahan,2.0,3.0,0.0,0.0,0,0,0,0,0,0.0,0,100,2014,2
Jakarta Selatan,Tebet,14.0,81.0,3087.0,22385.0,0,0,0,0,5753,15.0,0,150,2014,2
Jakarta Timur,Cakung,1.0,1.0,10.0,30.0,0,0,0,0,30,2.0,0,50,2014,2
Jakarta Timur,Ciracas,3.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,75,2014,2
Jakarta Timur,Jatinegara,24.0,206.0,12205.0,38679.0,0,0,0,0,10541,40.0,0,300,2014,2
Jakarta Timur,Kramat Jati,12.0,57.0,2919.0,9215.0,0,0,0,0,5289,15.0,0,200,2014,2
Jakarta Timur,Makasar,4.0,22.0,1032.0,4380.0,0,0,0,0,477,3.0,0,100,2014,2
Jakarta Timur,Matraman,3.0,10.0,219.0,651.0,0,0,0,0,651,4.0,0,60,2014,2
Jakarta Utara,Kelapa Gading,28.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,40,2014,2
Jakarta Utara,Penjaringan,12.0,84.0,0.0,0.0,0,0,0,0,0,0.0,0,80,2014,2
Jakarta Barat,Cengkareng,15.0,66.0,0.0,0.0,0,0,0,0,0,1.0,0,60,2014,3
Jakarta Pusat,Tanah Abang,1.0,6.0,0.0,0.0,0,0,0,0,0,0.0,0,50,2014,3
Jakarta Selatan,Pasar Minggu,7.0,26.0,433.0,1197.0,0,0,0,0,0,1.0,0,30,2014,3
Jakarta Selatan,Tebet,2.0,0.0,30.0,150.0,0,0,0,0,150,15.0,0,60,2014,3
Jakarta Timur,Jatinegara,12.0,67.0,568.508,1823.427,0,0,0,0,2589,11.0,0,200,2014,3
Jakarta Timur,Kramat Jati,11.0,41.0,2191.0,7070.0,0,0,0,0,90,2.0,0,100,2014,3
Jakarta Timur,Makasar,8.0,34.0,196.0,1434.0,0,0,0,0,650,2.0,0,200,2014,3
Jakarta Utara,Koja,33.0,10.0,0.0,0.0,0,0,0,0,0,0.0,0,70,2014,3
Jakarta Selatan,Tebet,2.0,3.0,0.0,0.0,0,0,0,0,0,0.0,0,10,2014,4
Jakarta Timur,Jatinegara,7.0,47.0,1508.0,3427.0,0,0,0,0,0,0.0,0,150,2014,4
Jakarta Timur,Kramat Jati,2.0,4.0,52.0,126.0,0,0,0,0,0,0.0,0,30,2014,4
Jakarta Timur,Jatinegara,12.0,0.0,2135.0,5427.0,0,0,0,0,0,0.0,0,200,2014,5
Jakarta Timur,Kramat Jati,4.0,0.0,400.0,900.0,0,0,0,0,0,0.0,0,30,2014,5
Jakarta Timur,Jatinegara,7.0,0.0,2775.0,9335.0,0,0,0,0,0,0.0,0,200,2014,6
Jakara Barat,Cengkareng,5.0,9.0,500.0,2068.0,0,0,0,0,0,0.0,0,30,2014,7
Jakara Barat,Kembangan,3.0,3.0,20.0,50.0,0,0,0,0,0,1.0,0,50,2014,7
Jakarta Selatan,Cilandak,1.0,1.0,0.0,0.0,0,0,0,0,0,0.0,0,10,2014,7
Jakarta Selatan,Pesanggrahan,3.0,3.0,0.0,0.0,0,0,0,0,0,0.0,0,30,2014,7
Jakarta Timur,Ciracas,11.0,40.0,0.0,20.0,0,0,0,0,20,1.0,0,100,2014,7
Jakarta Timur,Jatinegara,8.0,88.0,2.919,9057.0,0,0,0,0,0,0.0,0,200,2014,7
Jakarta Timur,Kramat Jati,6.0,29.0,1369.0,4086.0,0,0,0,0,0,0.0,0,100,2014,7
Jakarta Timur,Pasar Rebo,4.0,3.0,0.0,18.0,0,0,0,0,18,0.0,0,120,2014,7
Jakarta Selatan,Mampang Prapatan,10.0,27.0,120.0,0.0,0,0,0,0,0,0.0,0,100,2014,8
Jakarta Timur,Jatinegara,7.0,47.0,1508.0,3427.0,0,0,0,0,0,0.0,0,150,2014,8
Jakarta Timur,Kramat Jati,4.0,14.0,400.0,900.0,0,0,0,0,0,0.0,0,100,2014,8
Jakarta Pusat,Tanah Abang,2.0,11.0,0.0,0.0,0,0,0,0,0,0.0,0,150,2014,11
Jakarta Selatan,Cilandak,4.0,12.0,160.0,600.0,0,0,0,0,490,0.0,0,150,2014,11
Jakarta Selatan,Kebayoran Baru,3.0,3.0,1733.0,7304.0,0,0,0,0,0,0.0,0,150,2014,11
Jakarta Selatan,Kebayoran Lama,1.0,2.0,380.0,49.0,0,0,0,0,0,0.0,0,180,2014,11
Jakarta Selatan,Pancoran,6.0,17.0,619.0,888.0,0,0,0,0,600,6.0,0,150,2014,11
Jakarta Selatan,Pasar Minggu,3.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,100,2014,11
Jakarta Selatan,Pesanggrahan,1.0,2.0,24.0,81.0,0,0,0,0,0,0.0,0,100,2014,11
Jakarta Selatan,Tebet,11.0,52.0,1875.0,5814.0,0,0,0,0,382,1.0,0,200,2014,11
Jakarta Timur,Jatinegara,11.0,33.0,5010.0,18260.0,0,0,0,0,662,8.0,0,400,2014,11
Jakarta Timur,Kramat Jati,11.0,48.0,3326.0,9641.0,0,0,0,0,500,3.0,0,250,2014,11
Jakarta Timur,Pasar Rebo,1.0,2.0,0.0,0.0,0,0,0,0,0,0.0,0,80,2014,11
Jakarta Utara,Penjaringan,3.0,1.0,0.0,0.0,0,0,0,0,0,0.0,0,60,2014,11
Jakarta Barat,Cengkareng,3.0,1.0,0.0,0.0,0,0,0,0,40,2.0,0,70,2014,12
Jakarta Barat,Grogol Petamburan,7.0,17.0,0.0,0.0,0,0,0,0,0,0.0,0,70,2014,12
Jakarta Barat,Kebon Jeruk,10.0,6.0,0.0,0.0,0,0,0,0,0,0.0,0,70,2014,12
Jakarta Pusat,Tanah Abang,10.0,15.0,1595.0,7850.0,0,0,0,0,0,0.0,0,90,2014,12
Jakarta Selatan,Pancoran,4.0,9.0,192.0,652.0,0,0,0,0,0,0.0,0,100,2014,12
Jakarta Selatan,Pasar Minggu,1.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,60,2014,12
Jakarta Selatan,Tebet,3.0,3.0,23.0,98.0,0,0,0,0,98,1.0,0,80,2014,12
Jakarta Timur,Jatinegara,11.0,14.0,3361.0,9311.0,0,0,0,0,81,2.0,0,200,2014,12
Jakarta Timur,Kramat Jati,6.0,20.0,433.0,976.0,0,0,0,0,0,0.0,0,150,2014,12
Jakarta Timur,Makasar,5.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,50,2014,12
Jakarta Utara,Cilincing,3.0,7.0,0.0,0.0,0,0,0,0,0,0.0,0,30,2014,12
Jakarta Utara,Penjaringan,5.0,24.0,0.0,0.0,0,0,0,0,0,0.0,0,55,2014,12
