kota_administrasi,kecamatan,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian,ketinggian_air,tahun,bulan
Jakarta Selatan,Pancoran,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,70,2016,2
Jakarta Selatan,Pasar Minggu,7.0,4.0,151.0,443.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,80,2016,2
Jakarta Selatan,Tebet,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,50,2016,2
Jakarta Timur,Cakung,6.0,2.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,90,2016,2
Jakarta Timur,Cipayung,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40,2016,2
Jakarta Timur,Ciracas,17.0,22.0,500.0,1860.0,0.0,0.0,0.0,0.0,30.0,2.0,0.0,100,2016,2
Jakarta Timur,Jatinegara,15.0,53.0,1979.0,7797.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,120,2016,2
Jakarta Timur,Kramat Jati,14.0,6.0,1573.0,6584.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,200,2016,2
Jakarta Timur,Makasar,11.0,16.0,800.0,3240.0,0.0,0.0,0.0,0.0,40.0,3.0,0.0,100,2016,2
Jakarta Timur,Pasar Rebo,11.0,13.0,440.0,1320.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100,2016,2
Jakarta Timur,Pulogadung,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,2016,2
Jakarta Utara,Cilincing,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,25,2016,2
Jakarta Utara,Kelapa Gading,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2016,2
Jakarta Utara,Koja,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2016,2
Jakarta Utara,Penjaringan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2016,2
Jakarta Barat,Cengkareng,19.0,64.0,8536.0,27412.0,0.0,0.0,0.0,0.0,840.0,13.0,0.0,110,2016,3
Jakarta Barat,Kalideres,3.0,7.0,155.0,407.0,0.0,0.0,0.0,0.0,127.0,3.0,0.0,35,2016,3
Jakarta Barat,Kebon Jeruk,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2016,3
Jakarta Barat,Kembangan,6.0,5.0,95.0,215.0,0.0,0.0,0.0,0.0,135.0,2.0,0.0,100,2016,3
Jakarta Selatan,Cilandak,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,2016,3
Jakarta Selatan,Kebayoran Baru,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2016,3
Jakarta Selatan,Kebayoran Lama,4.0,10.0,399.0,1446.0,0.0,0.0,0.0,0.0,48.0,1.0,0.0,150,2016,3
Jakarta Selatan,Mampang Prapatan,7.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,2016,3
Jakarta Selatan,Pancoran,7.0,15.0,1009.0,1046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,2016,3
Jakarta Selatan,Pasar Minggu,6.0,29.0,790.0,2556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,2016,3
Jakarta Selatan,Tebet,6.0,29.0,1561.0,5040.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,150,2016,3
Jakarta Timur,Jatinegara,14.0,43.0,1738.0,5233.0,0.0,0.0,0.0,0.0,459.0,6.0,0.0,200,2016,3
Jakarta Timur,Kramat Jati,13.0,54.0,1862.0,7879.0,0.0,0.0,0.0,0.0,372.0,2.0,0.0,250,2016,3
Jakarta Timur,Makasar,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,65,2016,3
Jakarta Barat,Cengkareng,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,2016,4
Jakarta Barat,Taman Sari,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,2016,4
Jakarta Pusat,Gambir,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2016,4
Jakarta Selatan,Cilandak,6.0,7.0,75.0,650.0,0.0,0.0,0.0,0.0,200.0,2.0,0.0,100,2016,4
Jakarta Selatan,Jagakarsa,4.0,8.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,2016,4
Jakarta Selatan,Kebayoran Baru,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,2016,4
Jakarta Selatan,Kebayoran Lama,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,2016,4
Jakarta Selatan,Mampang Prapatan,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2016,4
Jakarta Selatan,Pancoran,7.0,25.0,359.0,1196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,2016,4
Jakarta Selatan,Pasar Minggu,26.0,86.0,1400.0,5073.0,0.0,0.0,0.0,0.0,1617.0,11.0,0.0,250,2016,4
Jakarta Selatan,Tebet,4.0,23.0,1501.0,4862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,2016,4
Jakarta Timur,Cipayung,10.0,28.0,137.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,2016,4
Jakarta Timur,Ciracas,9.0,33.0,606.0,1755.0,0.0,0.0,0.0,0.0,238.0,6.0,0.0,120,2016,4
Jakarta Timur,Jatinegara,13.0,58.0,1398.0,4322.0,0.0,0.0,0.0,0.0,36.0,10.0,0.0,125,2016,4
Jakarta Timur,Kramat Jati,24.0,92.0,2090.0,8801.0,0.0,0.0,0.0,0.0,254.0,8.0,0.0,360,2016,4
Jakarta Timur,Makasar,6.0,28.0,265.0,600.0,0.0,0.0,0.0,0.0,600.0,3.0,0.0,180,2016,4
Jakarta Timur,Pasar Rebo,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,2016,4
Jakarta Utara,Pademangan,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,2016,4
Jakarta Barat,Kebon Jeruk,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,2016,5
Jakarta Barat,Kedoya Selatan,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2016,5
Jakarta Selatan,Cilandak,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,2016,5
Jakarta Selatan,Kebayoran Lama,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,2016,5
Jakarta Selatan,Pancoran,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,2016,5
Jakarta Selatan,Pasar Minggu,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,2016,5
Jakarta Selatan,Pesanggrahan,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2016,5
Jakarta Timur,Duren Sawit,1.0,1.0,30.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,2016,5
Jakarta Timur,Jatinegara,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2016,5
Jakarta Timur,Kramat Jati,8.0,7.0,1466.0,6171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,2016,5
Jakarta Selatan,Cilandak,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,2016,6
Jakarta Selatan,Jagakarta,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2016,6
Jakarta Selatan,Kebayoran Lama,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,2016,6
Jakarta Selatan,Pancoran,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2016,6
Jakarta Selatan,Pasar Minggu,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2016,6
Jakarta Timur,Ciracas,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2016,6
Jakarta Timur,Duren Sawit,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2016,6
Jakarta Timur,Kramat Jati,13.0,14.0,1424.0,6025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,2016,6
Jakarta Timur,Makasar,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,70,2016,6
Jakarta Utara,Cilincing,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2016,6
Jakarta Utara,Penjaringan,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,2016,6
Jakarta Barat,Cengkareng,1.0,3.0,15.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,2016,7
Jakarta Selatan,Cilandak,6.0,9.0,1046.0,3140.0,0.0,0.0,0.0,0.0,93.0,2.0,0.0,100,2016,7
Jakarta Selatan,Grogol Petamburan,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2016,7
Jakarta Selatan,Jagakarsa,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2016,7
Jakarta Selatan,Kebayoran Baru,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,2016,7
Jakarta Selatan,Kebayoran Lama,6.0,14.0,220.0,713.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,190,2016,7
Jakarta Selatan,Kebon Jeruk,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,2016,7
Jakarta Selatan,Kembangan,1.0,4.0,112.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,2016,7
Jakarta Selatan,Pasar Minggu,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,2016,7
Jakarta Selatan,Pesanggrahan,5.0,8.0,291.0,912.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,120,2016,7
Jakarta Selatan,Tebet,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,2016,7
Jakarta Timur,Cipayung,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2016,7
Jakarta Timur,Ciracas,14.0,37.0,1346.0,2767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,2016,7
Jakarta Timur,Makasar,5.0,14.0,30.0,150.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,80,2016,7
Jakarta Timur,Pasar Rebo,11.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,2016,7
Jakarta Barat,Grogol Petamburan,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,2016,8
Jakarta Barat,Kebon Jeruk,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2016,8
Jakarta Barat,Kembangan,1.0,0.0,13.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,2016,8
Jakarta Selatan,Cilandak,10.0,55.0,7170.0,21514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,2016,8
Jakarta Selatan,Kebayoran Baru,4.0,40.0,3368.0,10108.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,100,2016,8
Jakarta Selatan,Kebayoran Lama,2.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,100,2016,8
Jakarta Selatan,Mampang Prapatan,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,2016,8
Jakarta Selatan,Pasar Minggu,11.0,16.0,0.0,140.0,0.0,0.0,0.0,0.0,140.0,1.0,0.0,120,2016,8
Jakarta Selatan,Pesanggrahan,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,2016,8
Jakarta Timur,Ciracas,18.0,54.0,470.0,60.0,0.0,0.0,0.0,0.0,45.0,3.0,0.0,100,2016,8
Jakarta Timur,Kramat Jati,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,2016,8
Jakarta Timur,Makasar,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,2016,8
Jakarta Timur,Pasar Rebo,16.0,35.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,2016,8
Jakarta Barat,Cengkareng,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,2016,9
Jakarta Barat,Kebon Jeruk,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,2016,9
Jakarta Barat,Kembangan,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,2016,9
Jakarta Selatan,Cilandak,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,2016,9
Jakarta Selatan,Kebayoran Baru,6.0,34.0,3164.0,8191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,2016,9
Jakarta Selatan,Kebayoran Lama,8.0,10.0,305.0,915.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,170,2016,9
Jakarta Selatan,Mampang Prapatan,3.0,7.0,85.0,270.0,0.0,0.0,0.0,0.0,270.0,3.0,0.0,150,2016,9
Jakarta Selatan,Pancoran,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,2016,9
Jakarta Selatan,Pasar Minggu,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,2016,9
Jakarta Selatan,Pesanggrahan,4.0,15.0,156.0,468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,2016,9
Jakarta Selatan,Tebet,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,2016,9
Jakarta Timur,Duren Sawit,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,2016,9
Jakarta Timur,Jatinegara,7.0,19.0,297.0,951.0,0.0,0.0,0.0,0.0,141.0,2.0,0.0,60,2016,9
Jakarta Timur,Kramat Jati,11.0,9.0,849.0,3936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,2016,9
Jakarta Timur,Makasar,5.0,28.0,185.0,600.0,0.0,0.0,0.0,0.0,311.0,4.0,0.0,170,2016,9
Jakarta Utara,Tanjung Priok,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2016,9
Jakarta Barat,Kembangan,5.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,2016,10
Jakarta Selatan,Cilandak,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,2016,10
Jakarta Selatan,Jagakarsa,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2016,10
Jakarta Selatan,Kebayoran Baru,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,2016,10
Jakarta Selatan,Kebayoran Lama,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,2016,10
Jakarta Selatan,Mampang Prapatan,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,2016,10
Jakarta Selatan,Pancoran,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,2016,10
Jakarta Selatan,Pasar Minggu,6.0,8.0,67.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,2016,10
Jakarta Selatan,Tebet,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2016,10
Jakarta Timur,Jatinegara,6.0,23.0,50.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,2016,10
Jakarta Timur,Kramat Jati,7.0,25.0,1043.0,3480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,2016,10
