kota_administrasi,kecamatan,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian,ketinggian_air,tahun,bulan
Jakarta Selatan,Kebayoran Baru,6.0,22.0,421.0,1685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,2016,1
Jakarta Selatan,Kebayoran Lama,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,2016,1
Jakarta Selatan,Pancoran,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2016,1
Jakarta Selatan,Pasar Minggu,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2016,1
Jakarta Selatan,Pesanggrahan,1.0,3.0,38.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,2016,1
Jakarta Selatan,Tebet,2.0,4.0,101.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2016,1
Jakarta Timur,Jatinegara,9.0,28.0,460.0,1636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,2016,1
Jakarta Timur,Kramat Jati,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2016,1
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2016,2
Jakarta Barat,Cengkareng,38.0,66.0,8116.0,24398.0,0.0,0.0,0.0,0.0,886.0,14.0,0.0,100,2016,2
Jakarta Barat,Grogol Petamburan,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50,2016,2
Jakarta Barat,Kalideres,31.0,174.0,453.0,780.0,0.0,0.0,0.0,0.0,69.0,4.0,0.0,100,2016,2
Jakarta Barat,Kebon Jeruk,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40,2016,2
Jakarta Barat,Kembangan,12.0,10.0,0.0,40.0,0.0,0.0,0.0,0.0,40.0,4.0,0.0,70,2016,2
Jakarta Selatan,Cilandak,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,200,2016,2
Jakarta Selatan,Jagakarsa,19.0,33.0,102.0,530.0,0.0,0.0,0.0,0.0,72.0,1.0,0.0,60,2016,2
Jakarta Selatan,Kebayoran Baru,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,60,2016,2
Jakarta Selatan,Kebayoran Lama,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10,2016,2
Jakarta Selatan,Mampang Prapatan,6.0,0.0,575.0,2062.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,50,2016,2
