kota_administrasi,kecamatan,jumlah_rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian,ketinggian_air,tahun,bulan
Jakarta Selatan,Mampang Prapatan,1,1,2,0,0,0,0,0,0,0,0,0,0,50,2013,4
Jakarta Selatan,Pasar Minggu,5,5,20,0,0,0,0,0,0,198,198,3,0,95,2013,4
Jakarta Selatan,Pesangrahan,6,9,23,738,2282,0,0,0,0,245,120,4,0,80,2013,4
Jakarta Timur,Jatinegara,8,21,111,2856,7860,0,0,0,0,0,0,0,0,100,2013,4
Jakarta Timur,Kramat Jati,4,7,32,0,0,0,0,0,0,0,0,0,0,100,2013,4
Jakarta Timur,Makasar,1,1,1,0,0,0,0,0,0,0,0,0,0,50,2013,4
Jakarta Timur,Pasar Rebo,5,10,0,0,0,0,0,0,0,0,0,0,0,50,2013,4
Jakarta Barat,Grogol Petamburan,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2013,5
Jakarta Barat,Kembangan,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2013,5
Jakarta Selatan,Kebayoran Baru,3,6,0,0,0,0,0,0,0,0,0,2,0,80,2013,5
Jakarta Selatan,Mampang Prapatan,22,34,144,559,2137,0,0,0,0,1245,1245,39,0,160,2013,5
Jakarta Selatan,Pancoran,1,3,3,0,0,0,0,0,0,0,0,0,0,20,2013,5
Jakarta Selatan,Pesangrahan,3,4,9,373,1364,0,0,0,0,0,0,1,0,100,2013,5
Jakarta Selatan,Tebet,3,9,24,0,0,0,0,0,0,0,0,0,0,120,2013,5
Jakarta Timur,Jatinegara,12,52,198,3808,14980,0,0,0,0,0,0,0,0,180,2013,5
Jakarta Timur,Kramat Jati,10,29,0,0,0,0,0,0,0,0,0,0,0,80,2013,5
Jakarta Timur,Makasar,2,2,0,0,0,0,0,0,0,0,0,0,0,60,2013,5
Jakarta Selatan,Pancoran,3,3,5,0,0,0,0,0,0,0,0,0,0,150,2013,6
Jakarta Timur,Jatinegara,3,3,0,0,0,0,0,0,0,0,0,0,0,150,2013,6
Jakarta Utara,Pademangan,14,31,5,0,0,0,0,0,0,0,0,0,0,60,2013,6
Jakarta Barat,Kembangan,1,3,0,0,0,0,0,0,0,0,0,0,0,40,2013,7
Jakarta Selatan,Pesangrahan,3,6,12,384,1078,0,0,0,0,170,120,5,0,100,2013,7
Jakarta Selatan,Tebet,2,3,6,240,1227,0,0,0,0,0,0,0,0,50,2013,7
Jakarta Timur,Jatinegara,13,42,212,7646,20232,0,0,0,0,323,323,3,0,180,2013,7
Jakarta Utara,Pademangan Barat,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2013,7
Jakarta Utara,Pademangan Timur,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2013,7
Jakarta Utara,Tanjung Priok,3,2,0,0,0,0,0,0,0,0,0,0,0,60,2013,7
Jakarta Barat,Kebon Jeruk,1,1,0,0,0,0,0,0,0,0,0,0,0,50,2013,8
Jakarta Selatan,Cilandak,1,2,3,0,0,0,0,0,0,0,0,0,0,100,2013,8
Jakarta Selatan,Kebayoran Lama,3,4,6,317,1194,0,0,0,0,0,0,6,0,250,2013,8
Jakarta Selatan,Pesangrahan,9,11,30,1399,5804,0,0,0,0,800,400,4,0,100,2013,8
Jakarta Selatan,Tebet,1,1,2,285,0,0,0,0,0,0,0,0,0,70,2013,8
Jakarta Timur,Jatinegara,13,36,216,9734,25429,0,0,0,0,136,136,2,0,300,2013,8
Jakarta Timur,Kramat Jati,8,8,32,624,2399,0,0,0,0,0,0,0,0,250,2013,8
Jakarta Selatan,Cilandak,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2013,10
