kota_administrasi,kecamatan,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian,ketinggian_air,bulan,tahun
Jakarta Barat,KEBON JERUK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,2017
Jakarta Selatan,KEBAYORAN BARU,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,1,2017
Jakarta Selatan,KEBAYORAN LAMA,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,1,2017
Jakarta Timur,DUREN SAWIT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,2017
Jakarta Barat,CENGKARENG,31.0,0.0,586.0,1388.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,100,2,2017
Jakarta Barat,GROGOL PETAMBURAN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2,2017
Jakarta Barat,KALI DERES,17.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,80,2,2017
Jakarta Barat,KEBON JERUK,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,2,2017
Jakarta Barat,KEMBANGAN,5.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,60,2,2017
Jakarta Barat,TAMAN SARI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,2,2017
Jakarta Pusat,CEMPAKA PUTIH,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,2,2017
Jakarta Pusat,KEMAYORAN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,2,2017
