date,kota_administrasi,kecamatan,ketinggian_air,ketinggian_air_forecast
2019-07-01,Jakarta Barat,Kebon Jeruk,0.0,7.479707717895508
2019-08-01,Jakarta Barat,Kebon Jeruk,0.0,0.0
2019-09-01,Jakarta Barat,Kebon Jeruk,0.0,3.279264450073242
2019-10-01,Jakarta Barat,Kebon Jeruk,0.0,8.86473274230957
2019-11-01,Jakarta Barat,Kebon Jeruk,0.0,4.165830612182617
2019-12-01,Jakarta Barat,Kebon Jeruk,0.0,0.0
2020-01-01,Jakarta Barat,Kebon Jeruk,0.0,47.20407485961914
2020-02-01,Jakarta Barat,Kebon Jeruk,100.0,78.3864974975586
2020-03-01,Jakarta Barat,Kebon Jeruk,150.0,39.61106872558594
2020-04-01,Jakarta Barat,Kebon Jeruk,80.0,42.32965850830078
2020-05-01,Jakarta Barat,Kebon Jeruk,30.0,38.876197814941406
2020-06-01,Jakarta Barat,Kebon Jeruk,90.0,60.26950454711914
2020-07-01,Jakarta Barat,Kebon Jeruk,0.0,0.0
2020-08-01,Jakarta Barat,Kebon Jeruk,40.0,9.753522872924805
2020-09-01,Jakarta Barat,Kebon Jeruk,0.0,0.0
2020-10-01,Jakarta Barat,Kebon Jeruk,0.0,0.0
2020-11-01,Jakarta Barat,Kebon Jeruk,130.0,62.84531784057617
2018-12-01,Jakarta Barat,Kembangan,-3.552713678800501e-15,0.0
2019-01-01,Jakarta Barat,Kembangan,-3.552713678800501e-15,0.0
2019-02-01,Jakarta Barat,Kembangan,50.0,1.1125589609146118
2019-03-01,Jakarta Barat,Kembangan,20.0,57.917091369628906
2019-04-01,Jakarta Barat,Kembangan,60.0,11.599825859069824
2019-05-01,Jakarta Barat,Kembangan,40.0,40.06703567504883
2019-06-01,Jakarta Barat,Kembangan,110.0,56.58169937133789
2019-07-01,Jakarta Barat,Kembangan,-3.552713678800501e-15,0.0
2019-08-01,Jakarta Barat,Kembangan,-3.552713678800501e-15,4.810348987579346
2019-09-01,Jakarta Barat,Kembangan,-3.552713678800501e-15,0.0
2019-10-01,Jakarta Barat,Kembangan,-3.552713678800501e-15,5.399563312530518
2019-11-01,Jakarta Barat,Kembangan,-3.552713678800501e-15,5.649242877960205
2019-12-01,Jakarta Barat,Kembangan,-3.552713678800501e-15,6.272058963775635
2020-01-01,Jakarta Barat,Kembangan,-3.552713678800501e-15,20.10480308532715
2020-02-01,Jakarta Barat,Kembangan,-3.552713678800501e-15,17.212066650390625
2020-03-01,Jakarta Barat,Kembangan,150.0,115.09774780273438
2020-04-01,Jakarta Barat,Kembangan,80.0,89.84629821777344
2020-05-01,Jakarta Barat,Kembangan,40.0,61.54033660888672
2020-06-01,Jakarta Barat,Kembangan,60.0,90.61607360839844
2020-07-01,Jakarta Barat,Kembangan,30.0,35.4810676574707
2020-08-01,Jakarta Barat,Kembangan,-3.552713678800501e-15,6.401617527008057
2020-09-01,Jakarta Barat,Kembangan,50.0,11.776765823364258
2020-10-01,Jakarta Barat,Kembangan,-3.552713678800501e-15,18.221750259399414
2020-11-01,Jakarta Barat,Kembangan,60.0,32.75018310546875
2018-12-01,Jakarta Barat,Palmerah,8.881784197001252e-16,2.525923490524292
2019-01-01,Jakarta Barat,Palmerah,8.881784197001252e-16,0.0
2019-02-01,Jakarta Barat,Palmerah,8.881784197001252e-16,0.0
2019-03-01,Jakarta Barat,Palmerah,40.0,10.898272514343262
2019-04-01,Jakarta Barat,Palmerah,8.881784197001252e-16,0.0
2019-05-01,Jakarta Barat,Palmerah,8.881784197001252e-16,0.0
2019-06-01,Jakarta Barat,Palmerah,8.881784197001252e-16,0.0
2019-07-01,Jakarta Barat,Palmerah,8.881784197001252e-16,0.0
2019-08-01,Jakarta Barat,Palmerah,8.881784197001252e-16,0.0
