year,month,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,date,kota_administrasi,kecamatan,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi,jumlah_tempat_pengungsian,nilai_kerugian,ketinggian_air
2013,01,24.29032258064516,30.574193548387097,26.932258064516127,84.29032258064517,20.73,1.8290322580645162,5.645161290322581,285.48387096774195,3.3225806451612905,2013-01-01,Jakarta Barat,Cengkareng,485.0,2044.0,340227.0,639151.0,8.0,0.0,0.0,0.0,56960.0,132.0,0,200.0
2013,01,24.29032258064516,30.574193548387097,26.932258064516127,84.29032258064517,20.73,1.8290322580645162,5.645161290322581,285.48387096774195,3.3225806451612905,2013-01-01,Jakarta Barat,Grogol Petamburan ,50.0,174.0,1713.0,3162.0,3.0,0.0,0.0,0.0,1851.0,42.0,0,120.0
2013,01,24.29032258064516,30.574193548387097,26.932258064516127,84.29032258064517,20.73,1.8290322580645162,5.645161290322581,285.48387096774195,3.3225806451612905,2013-01-01,Jakarta Barat,Kalideres,48.0,115.0,1102.0,1655.0,0.0,0.0,0.0,0.0,2391.0,30.0,0,60.0
2013,01,24.29032258064516,30.574193548387097,26.932258064516127,84.29032258064517,20.73,1.8290322580645162,5.645161290322581,285.48387096774195,3.3225806451612905,2013-01-01,Jakarta Barat,Kebon Jeruk,85.0,361.0,24368.0,89443.0,1.0,0.0,0.0,0.0,200.0,9.0,0,150.0
2013,01,24.29032258064516,30.574193548387097,26.932258064516127,84.29032258064517,20.73,1.8290322580645162,5.645161290322581,285.48387096774195,3.3225806451612905,2013-01-01,Jakarta Barat,Kembangan,66.0,157.0,13086.0,52167.0,0.0,0.0,0.0,0.0,0.0,14.0,0,100.0
2013,01,24.29032258064516,30.574193548387097,26.932258064516127,84.29032258064517,20.73,1.8290322580645162,5.645161290322581,285.48387096774195,3.3225806451612905,2013-01-01,Jakarta Barat,Palmerah,55.0,145.0,11955.0,27837.0,4.0,0.0,0.0,0.0,20103.0,65.0,0,150.0
2013,01,24.29032258064516,30.574193548387097,26.932258064516127,84.29032258064517,20.73,1.8290322580645162,5.645161290322581,285.48387096774195,3.3225806451612905,2013-01-01,Jakarta Barat,Taman Sari,71.0,21.0,0.0,0.0,2.0,0.0,0.0,0.0,659.0,53.0,0,120.0
2013,01,24.29032258064516,30.574193548387097,26.932258064516127,84.29032258064517,20.73,1.8290322580645162,5.645161290322581,285.48387096774195,3.3225806451612905,2013-01-01,Jakarta Barat,Tambora,192.0,114.0,97.0,453.0,3.0,0.0,0.0,0.0,12702.0,157.0,0,150.0
2013,01,24.29032258064516,30.574193548387097,26.932258064516127,84.29032258064517,20.73,1.8290322580645162,5.645161290322581,285.48387096774195,3.3225806451612905,2013-01-01,Jakarta Pusat,Gambir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50.0
2013,01,24.29032258064516,30.574193548387097,26.932258064516127,84.29032258064517,20.73,1.8290322580645162,5.645161290322581,285.48387096774195,3.3225806451612905,2013-01-01,Jakarta Pusat,Johar Baru,15.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,55.0
2013,01,24.29032258064516,30.574193548387097,26.932258064516127,84.29032258064517,20.73,1.8290322580645162,5.645161290322581,285.48387096774195,3.3225806451612905,2013-01-01,Jakarta Pusat,Sawah Besar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30.0
2013,01,24.29032258064516,30.574193548387097,26.932258064516127,84.29032258064517,20.73,1.8290322580645162,5.645161290322581,285.48387096774195,3.3225806451612905,2013-01-01,Jakarta Pusat,Tanah Abang,33.0,132.0,6806.0,23134.0,1.0,0.0,0.0,0.0,3804.0,18.0,0,60.0
2013,01,24.29032258064516,30.574193548387097,26.932258064516127,84.29032258064517,20.73,1.8290322580645162,5.645161290322581,285.48387096774195,3.3225806451612905,2013-01-01,Jakarta Selatan,Cilandak,20.0,23.0,533.0,2194.0,0.0,0.0,0.0,0.0,130.0,4.0,0,150.0
2013,01,24.29032258064516,30.574193548387097,26.932258064516127,84.29032258064517,20.73,1.8290322580645162,5.645161290322581,285.48387096774195,3.3225806451612905,2013-01-01,Jakarta Selatan,Jagakarsa,16.0,24.0,152.0,1301.0,0.0,0.0,0.0,0.0,1479.0,0.0,0,100.0
2013,01,24.29032258064516,30.574193548387097,26.932258064516127,84.29032258064517,20.73,1.8290322580645162,5.645161290322581,285.48387096774195,3.3225806451612905,2013-01-01,Jakarta Selatan,Kebayoran Baru,19.0,38.0,1948.0,6978.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100.0
2013,01,24.29032258064516,30.574193548387097,26.932258064516127,84.29032258064517,20.73,1.8290322580645162,5.645161290322581,285.48387096774195,3.3225806451612905,2013-01-01,Jakarta Selatan,Kebayoran Lama,14.0,18.0,1192.0,4036.0,0.0,0.0,0.0,0.0,113.0,0.0,0,135.0
2013,01,24.29032258064516,30.574193548387097,26.932258064516127,84.29032258064517,20.73,1.8290322580645162,5.645161290322581,285.48387096774195,3.3225806451612905,2013-01-01,Jakarta Selatan,Pancoran,57.0,184.0,7764.0,23177.0,1.0,0.0,0.0,0.0,3077.0,30.0,0,200.0
